,Use_Case_ID,Department_Code,Agency,Office,Title,Summary,Development_Stage,Techniques,Source_Code,Department,embedding,cluster,keywords
133,DOE-0043-2023,DOE,National Energy Technology Laboratory,,Demonstrate the robust performance of our ML method in a commercial-scale synthetic data and integrate image-to-image mapping with convolutional neural networks,"Our method quickly incorporates streaming observations for accurate 
and timely forecasts with uncertainty quantification, taking reservoir 
simulation data as inputs and incorporating real-time observation 
streams for accurate, timely geological carbon storage forecasts.
Computation effort is distributed over many machines, facilitates 
coupled inversions using many ML models, and allows for ML-Driven 
optimization and sensitivity analysis",,"Neural Networks, Other",,Department of Energy,"[ 0.03335452  0.00534311  0.01796687 ... -0.00983483  0.02283733
  0.04892999]",2,"[('forecasts', 0.459), ('reservoir', 0.3159), ('observations', 0.2843), ('uncertainty', 0.2703), ('models', 0.2601)]"
134,DOE-0044-2023,DOE,National Energy Technology Laboratory,,Develop and demonstrate reinforcement learning approach for time-varying control for flexible hydrogen and power production.,"Efforts on IES control will include the development of a dynamic 
optimization-based nonlinear model predictive control (NMPC) 
framework. NMPC approaches for optimizing cell thermal management 
and maximizing IES efficiency under set-point transition will be 
developed for flexible operation. Reinforcement learning (RL) 
approaches will also be developed for optimal control policy selection 
and learning-based adaptive control. There are opportunities for 
improved learning through interaction with the electrolyzer in addition to 
learning from the MPC action. Multi-policy approaches will be developed 
for control, independently by RL or in concert with MPC, or even for 
scheduling the operating policy.  The ultimate goal is to develop 
operational strategies and an NMPC and RL control framework for 
optimizing IES performance under flexible hydrogen and power 
production scenarios, while minimizing physical and chemical 
degradation over long-term operation.",,Other,,Department of Energy,"[-0.00049171  0.00204309  0.04483901 ... -0.00968483  0.01209981
 -0.00191549]",2,"[('optimizing', 0.2988), ('electrolyzer', 0.2819), ('control', 0.2692), ('optimization', 0.2618), ('hydrogen', 0.2403)]"
135,DOE-0045-2023,DOE,National Energy Technology Laboratory,,Develop fast predictive models using novel machine-learning based methods.,"Accurate, fast predictive ML models form the foundation for the virtual 
learning platform. Generating training data then developing ML based 
models enables a Virtual Learning Environment (VLE) for exploring and 
testing strategies to optimize reservoir development, management & 
monitoring prior to field activities.",,Other,,Department of Energy,"[-0.04376841  0.00560292  0.04951199 ...  0.01990326 -0.00298754
  0.03418015]",2,"[('models', 0.3887), ('learning', 0.3786), ('training', 0.3772), ('virtual', 0.3712), ('reservoir', 0.3501)]"
136,DOE-0046-2023,DOE,National Energy Technology Laboratory,,"Develop, integrate, and automate the reduction of CFD models while preserving acceptable levels of accuracy. In general for CCSI2, this work intends to focuse on CFD applications.","Will leverage state-of-the-art, physics-based deep learning (DL) models 
to learn generalizable surrogates that may be used in place of CFD 
models to predict quantities required for downstream optimization. The 
products from this subtask can be immediately leveraged by other 
subtasks that are seeking to speed up their CFD simulation models to 
streamline their downstream analyses. Addtionally, improvements to the 
ML/AI interface in FOQUS. Includes support for vector variables in the 
ML/AI plugin and support for additional surrogate model tools (e.g., 
PyTorch, Sci-kit Learn) and additional normalization function forms in 
the ML/AI plugin.",,"Neural Networks, Other",,Department of Energy,"[ 0.00574465  0.0199511   0.00205211 ... -0.00394588  0.0198751
  0.03116172]",2,"[('cfd', 0.3763), ('models', 0.3542), ('ai', 0.3299), ('learning', 0.3128), ('normalization', 0.289)]"
137,DOE-0047-2023,DOE,National Energy Technology Laboratory,,Development of AI/ML methods,"Develop quality, reliability, and version control standards for SMART 
software. Continue development of AI/ML methods for use by the 2A 
and 2C activities, including Modeling anomalies due to local 
heterogeneity coupled with an enhanced capacitance-resistance model 
(CRM) and Bayesian Belief Network (BBN) modeling integrated with 
geochemistry. Continue development of advanced computational 
approaches with modeling using the most advanced general purpose 
PDE/ODE physics-informed neural network (PINN) tool developed by 
NVIDIA and accelerate training PINNs using Wafer Scale Engine (WSE) 
by Cerebras Systems Inc.",,Other,,Department of Energy,"[ 0.02406694  0.00086886  0.05495331 ... -0.00619077  0.00309361
  0.01277934]",2,"[('pinn', 0.2961), ('bbn', 0.2786), ('modeling', 0.2611), ('pinns', 0.2465), ('software', 0.2434)]"
138,DOE-0048-2023,DOE,National Energy Technology Laboratory,,"Development of new machine learning-based process modeling capabilities that assess the viability and efficiency, with uncertainty quantification, of the chemical processes involved in the carbon fiber production and its output quality","Provide sub-pilot-scale verification of lab-scale developments on the 
production of isotropic and mesophase coal-tar pitch (CTP) for carbon 
fiber production, using coals from several U.S. coal-producing regions. 
An extensive database and suite of tools for data analysis and economic 
modeling, with an associated web-based community portal, will be 
developed to relate process conditions to product quality, and to assess 
the economic viability of coals from different regions for producing 
specific high-value products.",,Artificial Intelligence,,Department of Energy,"[-0.00789241 -0.00823733  0.04945101 ... -0.01919338 -0.03121798
  0.00197141]",2,"[('coal', 0.4854), ('coals', 0.4383), ('production', 0.342), ('carbon', 0.3001), ('tar', 0.261)]"
139,DOE-0049-2023,DOE,National Energy Technology Laboratory,,DOE AI Data Infrastructure System,"Leveraging generative AI and cloud enabled data infrastructure to 
improve CCS user experience and connectivity producing an adaptive 
user interface that streamlines connection of CCS stakeholders to what 
matters to them.",,"Artificial Intelligence, Big Data, Other",,Department of Energy,"[ 0.03399497 -0.04834779  0.05961516 ... -0.00671497 -0.01506908
  0.00340397]",3,"[('ccs', 0.4045), ('cloud', 0.3565), ('generative', 0.3459), ('ai', 0.3281), ('leveraging', 0.2556)]"
140,DOE-0050-2023,DOE,National Energy Technology Laboratory,,Fluid migration from well-to-well communication will be inputted in AI to determine a costs-benefit analysis,"This project will develop an ML algorithm to predict the time when a 
growing fracture will reach the monitored well. The ML workflow will be 
trained on the distinctive tensile strain signature that precedes the 
growing fracture. The new workflow will be designed to work in 
conjunction with the fracture warning ML workflow developed in EY21. 
Together, these workflows will: (1) provide an early warning of well-to-
well communication, (2) predict the measured depths where the 
communication will happen, and (3) provide an estimated time until the 
beginning of well-to-well communication.",,"Artificial Intelligence, Big Data, Other",,Department of Energy,"[ 0.01859001  0.02501769  0.05049741 ... -0.00586373  0.01883461
  0.02812961]",2,"[('fracture', 0.3605), ('workflow', 0.3126), ('workflows', 0.3068), ('tensile', 0.2872), ('predict', 0.281)]"
141,DOE-0051-2023,DOE,National Energy Technology Laboratory,,Geochemically Informed Leak Detection (GILD),"A Bayesian Belief Network has been developed to interogate the altered 
geochemistry around a potential CO2 leakage site. The use of the BNN 
and site specific parameters will reduce the percentage of false 
positives with this method.",,"Artificial Intelligence, Other",,Department of Energy,"[-0.00601827 -0.03007806  0.02576032 ... -0.00170551  0.00926654
 -0.00240299]",2,"[('geochemistry', 0.4775), ('bayesian', 0.4219), ('co2', 0.4154), ('bnn', 0.2616), ('belief', 0.2527)]"
142,DOE-0052-2023,DOE,National Energy Technology Laboratory,,"Initial case study using regulatory compliance (well integrity testing, fluid compositionali data, geographic, and geologic information from oil and gas wells in the Wattenberg Field, Denver Basin, central Colorado, USA","Researchers will apply artificial intelligence/machine learning (AI/ML) 
techniques to national-scale well characterization and integrity test 
datasets to yield new insights into leakage potential.",,Other,,Department of Energy,"[-0.01264418  0.0012103   0.0536182  ...  0.00333274 -0.01034468
  0.01368662]",2,"[('leakage', 0.4188), ('datasets', 0.3233), ('ai', 0.3215), ('insights', 0.2656), ('researchers', 0.2528)]"
143,DOE-0053-2023,DOE,National Energy Technology Laboratory,,Machine learning based identification of current hazardous offshore metocean and bathymetric conditions that can impact safe offshore energy operations,"Build off user testing and further refine analytical logic to develop 
Version 2 of the OGA smart tool for release on EDX. Continue 
refinements to offshore hazard models, including wave and turbidity 
current models. Draft manuscripts detailing the OGA Tool models and 
algorithms. Assemble a metocean and seafloor database for release 
with the OGA Tool Version 2 online; strategize web-hosted versions of 
the OGA Tool and database.",,"Big Data, Neural Networks, Other",,Department of Energy,[0.01051378 0.07184654 0.06369004 ... 0.01321814 0.0004908  0.00757802],2,"[('oga', 0.4128), ('offshore', 0.3831), ('edx', 0.3178), ('seafloor', 0.2964), ('tool', 0.2665)]"
144,DOE-0054-2023,DOE,National Energy Technology Laboratory,,Machine Learning for geophysical data inversion,"Use machine learning to generate synthetic seismic and gravity data, 
and data driven inversion for leak detection",,Other,,Department of Energy,"[-0.0111043   0.022987    0.04161985 ... -0.01669902 -0.0203964
 -0.00504133]",2,"[('seismic', 0.4158), ('leak', 0.3413), ('inversion', 0.2962), ('learning', 0.2313), ('data', 0.2154)]"
145,DOE-0055-2023,DOE,National Energy Technology Laboratory,,Machine learning for legacy well evaluation,"Use machine learning to identify common attributes that correlated to 
well integrity issues to prioritize for monitoring and remediation.",,Other,,Department of Energy,"[-0.02032896  0.02385838  0.07068961 ... -0.01981029 -0.02495895
 -0.01883623]",4,"[('integrity', 0.4905), ('attributes', 0.3774), ('monitoring', 0.3608), ('remediation', 0.3515), ('prioritize', 0.3137)]"
146,DOE-0056-2023,DOE,National Energy Technology Laboratory,,Machine learning to process multi- model data and information to aid in the identification of undocumented orphaned wells,"Use of machine learning to process and analyze trends and patterns in 
known well data to predict undocuemnted orphaned wells, as well as 
machine learning approached to process different imagery based data 
to further classify and characterize additional undocuemented orphaned 
wells within the Appalachain Basin",,"Big Data, Other",,Department of Energy,"[ 0.00250656  0.00842684  0.02971205 ... -0.02189841 -0.00253185
 -0.00338528]",2,"[('basin', 0.3813), ('wells', 0.3572), ('imagery', 0.2732), ('classify', 0.2559), ('data', 0.2491)]"
147,DOE-0057-2023,DOE,National Energy Technology Laboratory,,Machine learning to refine and analyze data for CCS needs,"Utilze and apply different machine learning approaches to process data 
and generate new derivative data products that help address CCS 
stakeholder data-needs for resource evaluation, risk assessment, 
supply chain, social and environmental justice evaluations, regulatory 
compliance, and more.",,"Big Data, Other",,Department of Energy,"[ 0.03273451 -0.0092182   0.06839308 ...  0.01034569 -0.04058981
  0.00274749]",2,"[('stakeholder', 0.3703), ('ccs', 0.3633), ('learning', 0.3032), ('data', 0.2923), ('regulatory', 0.2898)]"
148,DOE-0058-2023,DOE,National Energy Technology Laboratory,,Machine learning to tool and model applications for CCS needs,"Utilze and apply different machine learning approaches to help model 
and analyze Class VI well regulatation data, CCS infrastructure 
optimization, CCS data visualization, and interaction with “really big” 
(petabyte-scale) datasets used for CCS resource characterization and 
risk reduction (e.g., reflection seismic surveys) within the EDX multi-
cloud ecosystem.",,"Big Data, Other",,Department of Energy,"[ 0.01632118 -0.02171264  0.07377227 ...  0.00631228 -0.00578848
  0.01229093]",2,"[('datasets', 0.4087), ('cloud', 0.3688), ('infrastructure', 0.357), ('ccs', 0.2776), ('seismic', 0.2756)]"
149,DOE-0059-2023,DOE,National Energy Technology Laboratory,,ML-based approaches to improve site characterization efforts,"Demonstrate application of ML-based approaches to improve site-
characterization efforts performed during the pre-injection phase using 
data from either IBDP (for which data are currently available) or other 
opportunistic field demonstration or commercial projects (for which data 
may become available) and develop value of information guidelines. 
Demonstrate how ML-based rapid forecasting can be used to help with 
pre-injection reservoir management decisions under data uncertainties. 
Demonstrate how a visualization platform with ML-based models can",,Other,,Department of Energy,"[-0.01413245  0.00101652  0.03553226 ...  0.01952263  0.01058593
  0.0237865 ]",2,"[('forecasting', 0.411), ('visualization', 0.3764), ('reservoir', 0.3532), ('data', 0.3259), ('models', 0.2706)]"
150,DOE-0060-2023,DOE,National Energy Technology Laboratory,,ML-based proxy models and multi- level data driven fracture network imaging to support rapid decision making.,"ML-based proxy-models of fracture network, HF geometry, HF 
properties, bottomhole pressure and drainage volume contribute to 
fracture network, production forecast and well drainage volume 
visualizations.",,Other,,Department of Energy,"[-0.02320823  0.03564359  0.05591256 ... -0.01226911  0.0086848
  0.00323353]",2,"[('drainage', 0.3707), ('bottomhole', 0.2991), ('visualizations', 0.2814), ('models', 0.2619), ('fracture', 0.2563)]"
151,DOE-0061-2023,DOE,National Energy Technology Laboratory,,"ML-based reduced order models of reservoir response to Co2 injection into saline and/or hydrocarbon- bearing formations - as the basis for integrated assessment modeling of leakage risk (e.g., SACROC)","Generally, the approach used by NRAP researchers to address these 
questions is to develop a robust, science-based integrated assessment 
framework that links fast forecasting models of CO2 storage system 
components (e.g., storage reservoir; leakage pathways including wells, 
faults, and fractured caprock; intermediate formations; and receptors of 
concern, including groundwater aquifers and the atmosphere). 
Superimposed on this system model are various fit-for-purpose 
analytical capabilities that support analyses in support of stakeholder 
decision making for questions related to site-specific risk evolution, risk-
based area of review delineation, conformance assessment, and post-
injection site monitoring
In Task 2.0, researchers will augment and expand this functionality to 
demonstrate relevance to industry-standard site risk management 
methods (i.e., bowtie analysis framework) and to understand 
containment performance and leakage risk for scenarios where a site 
transitions from CO2 utilization for EOR to dedicated CO2 storage. To 
ensure that risk assessment efforts are informative to real geologic 
storage deployment scenarios, NRAP researchers will engage with a 
diverse set of stakeholders to establish an appropriate modeling and 
risk assessment design basis.",,Other,,Department of Energy,[0.00672792 0.03438861 0.07816316 ... 0.02567877 0.00164387 0.02594391],2,"[('groundwater', 0.3791), ('stakeholder', 0.3258), ('stakeholders', 0.2986), ('aquifers', 0.2908), ('risk', 0.2766)]"
152,DOE-0062-2023,DOE,National Energy Technology Laboratory,,Natural Language Processing,"Information and articles on energy storage will be gathered and 
reviewed. Developed natural language processing (NLP) algorithms will 
be used to help categorize and understand various energy storage 
efforts in the R&D communities. Additionally, trends within the 
discovered and selected topical focus areas in energy storage will be 
examined. This will provide a view of energy storage R&D, which is not 
biased or limited to known search terms.",,"Big Data, Natural Language Processing, Other",,Department of Energy,"[-0.00297547  0.01069584  0.01353325 ...  0.01100687  0.02484481
  0.00937552]",2,"[('energy', 0.456), ('nlp', 0.4484), ('storage', 0.3308), ('processing', 0.3168), ('algorithms', 0.2468)]"
153,DOE-0063-2023,DOE,National Energy Technology Laboratory,,Neural networks used to compensate a drone-mounted magnetic sensor for maneuvering of the drone.,"Electromagnetic technology development and optimization for cased 
wells. Scalable solutions—getting to 100,000 wells/year through drone 
technology and ML technology. NETL will develop ML algorithms to 
compensate magnetic data for the maneuvering of drone aircraft. 
Magnetic noise can limit sensitivity of detection and resolution of 
anomalies in the magnetic data. The ML algorithms will reduce attitude- 
and heading-induced noise in drone magnetic surveys.",,"Neural Networks, Other",,Department of Energy,"[ 0.01799848 -0.01776338  0.02648833 ... -0.02758548 -0.00132572
  0.04498314]",2,"[('drone', 0.4588), ('magnetic', 0.3725), ('electromagnetic', 0.2713), ('netl', 0.267), ('aircraft', 0.2565)]"
154,DOE-0064-2023,DOE,National Energy Technology Laboratory,,Online real time system Identification,"Work will focus on using SI to monitor the condition of a power plant 
boiler at different process states. SI algorithms will be implemented 
within an MPC to provide continuous adaptability as the power plant 
ramps through the entire range of operating loads. Once the control 
algorithm has been developed to be effective on representative models, 
it will be tested on a high-fidelity commercial power plant simulator or on 
a real power plant facility. The online SI techniques will be tested on 
historical power plant data, dynamic models (including a power plant 
simulator), power generating equipment including laboratory pilot-scale 
power systems, and on power plants where feasible.",,"Artificial Intelligence, Big Data, Other",,Department of Energy,"[-0.00187433  0.01301317  0.01540963 ... -0.01172792 -0.00452516
  0.00877586]",2,"[('boiler', 0.4253), ('simulator', 0.275), ('mpc', 0.2353), ('si', 0.2163), ('models', 0.2106)]"
155,DOE-0065-2023,DOE,National Energy Technology Laboratory,,Prediction of gasification gas yield and compositions using machine learning,"A machine learning (ML) model will be developed to aid in investigating 
and optimizing of gasification with various feedstocks like waste plastic, 
waste coal, biomass and MSW. Database on the gasification will be 
built from main resources of literature, prior experiments in NETL, and 
new generating experiments in NETL. Al/ML will be a part of the project. 
It combines with experimental study to accelerate development of 
gasification applying to variour feedstocks including waste plastics, 
waste coal, MSW and its mixture. The ML will have more impact as the 
big database will be built.",,"Big Data, Other",,Department of Energy,"[-0.02306107  0.02316939  0.02426467 ...  0.01588758 -0.00079889
  0.00615945]",2,"[('gasification', 0.5317), ('biomass', 0.3822), ('feedstocks', 0.3497), ('optimizing', 0.3023), ('coal', 0.2845)]"
156,DOE-0066-2023,DOE,National Energy Technology Laboratory,,Reduce computational cost of CFD simulations that screen for more efficient intensified solvent contactor geometries.,"Collaborate with Subtask 4.3 Machine Learning Support to reduce the 
computational complexity of validated CFD calculations using Deeper 
Fluids (DF), graph neural networks (GNNs), or similar ML approaches. 
Further development of ongoing process modeling/optimization 
ultimately informed by the CFD reduced order models (ROM) will also 
be a focus.",,"Neural Networks, Other",,Department of Energy,"[-0.01016738  0.0503937   0.03879246 ... -0.02421922  0.01857502
  0.0230591 ]",2,"[('cfd', 0.4184), ('computational', 0.312), ('modeling', 0.2865), ('models', 0.2835), ('fluids', 0.2823)]"
157,DOE-0067-2023,DOE,National Energy Technology Laboratory,,Rokbase Geologic Core Data Tool,"This project will develop the platform through which the DOE OGFL data 
are easily accessible, searchable, and described, enabling future R&D, 
sustainable resource planning, and responsible stewardship of the 
team’s national resources. NETL’s expertise in developing geo-data 
science, ML, visualization, online data mining and integration, and 
advanced analytics through scientific computing (including high 
performance computing and big data computing methods) and 
virtualized environments can be leveraged to support further intelligent 
analytics for offshore systems.",,"Neural Networks, Other",,Department of Energy,"[-0.01250656  0.02275267  0.04446775 ...  0.00473705 -0.00015373
  0.0275206 ]",2,"[('ogfl', 0.3984), ('virtualized', 0.3925), ('offshore', 0.3801), ('netl', 0.3785), ('analytics', 0.3767)]"
158,DOE-0068-2023,DOE,National Energy Technology Laboratory,,Solving Field Equations on the Wafer Scale Engine,"The intent is to develop a collocated, finite volume code to allow 
maximum mesh flexibility and support advanced CFD capabilities found 
in modern CFD codes like Fluent, OpenFOAM, and MFiX.
NETL will take a metered approach to development towards a fully 
reacting CFD capability on the WSE. EY22 will be filled with API 
capability expansions needed to support general purpose CFD 
applications, such as general purpose finite volume formulations, 
collocated grid capabilities (Rhie & Chow Interpolation), bit stuffing to 
save memory when dealing with cell types, general purpose boundary 
conditions, etc. In addition, the code will be benchmarked in a series of 
tests towards a fully reacting CFD capability that will support problems 
of interest to FECM.",,"Big Data, Other",,Department of Energy,"[ 0.01620069  0.03636373  0.05572587 ... -0.03776882 -0.03299151
  0.01401577]",2,"[('cfd', 0.4568), ('fecm', 0.3346), ('netl', 0.2638), ('mesh', 0.2607), ('mfix', 0.2573)]"
159,DOE-0069-2023,DOE,National Energy Technology Laboratory,,To drive insights on the dependencies between the natural gas and electricity sectors to increase reliability of the NG system,"Commercially available models will be used to generate predictive 
scenarios",,Big Data,,Department of Energy,"[-0.01445101  0.01282866  0.04902765 ... -0.00679669 -0.0092981
  0.02445665]",1,"[('scenarios', 0.565), ('models', 0.5434), ('predictive', 0.5164), ('commercially', 0.3958), ('generate', 0.2681)]"
160,DOE-0070-2023,DOE,National Energy Technology Laboratory,,"To drive insights on the power system reliability, cost, and operations during the energy transition with and without FECM technologies","Commercially available models will be used to generate predictive 
scenarios",,Big Data,,Department of Energy,"[-0.01445101  0.01282866  0.04902765 ... -0.00679669 -0.0092981
  0.02445665]",1,"[('scenarios', 0.565), ('models', 0.5434), ('predictive', 0.5164), ('commercially', 0.3958), ('generate', 0.2681)]"
161,DOE-0071-2023,DOE,National Energy Technology Laboratory,,To accelerate discovery of protection system and laser processing of protective coatings on CMC for hydrogen turbines.,"The objectives of this project are to design, process, and validate a 
laser-manufactured, integrated, and graded bond coat-environmental 
barrier coat-thermal barrier coat (BC-EBC-TBC) system that can 
effectively protect and lead to the use of Silicon Carbide fiber/Silicon 
Carbide (SiCf/SiC) matrix CMCs in next-generation hydrogen-fueled 
turbines.",,Artificial Intelligence,,Department of Energy,"[ 0.02670607  0.01630476  0.02351156 ...  0.01521863  0.00079503
 -0.00383021]",2,"[('carbide', 0.3957), ('sic', 0.3535), ('turbines', 0.2733), ('sicf', 0.2706), ('barrier', 0.2583)]"
162,DOE-0072-2023,DOE,National Energy Technology Laboratory,,To accurately predict alloy & component performance extrapolated to conditions where experimental results to do not exist.,"AI/ML will be used to  interrogate databases comprised of  experimental 
data,  literature data,  and  synthetic data generated improved physics 
based models  to generate reduced order models to accurate predict 
materials the performance of materials and components under extreme 
environments (temperature, atmosphere) and complex loading (cyclical, 
triaxial) for long service life durations.",,"Big Data, Other",,Department of Energy,"[ 1.06316628e-02  3.01642530e-02  4.07048240e-02 ... -5.75420854e-05
  5.96973719e-03  2.81081907e-02]",2,"[('ai', 0.3654), ('models', 0.3495), ('databases', 0.3163), ('materials', 0.3029), ('data', 0.2816)]"
163,DOE-0073-2023,DOE,National Energy Technology Laboratory,,To analyze data and derive insights and improve predictions to forecast wellbore kick events to reduce loss of control events.,"Use of neural networks and/or AI cluster data analysis methods to 
improve detection and forecasting of wellbore and drilling related loss of 
control events, known as kicks, to imrpove real-time detection and 
prediction of these conditions.",,"Neural Networks, Other",,Department of Energy,"[-0.03278914  0.02282084  0.0073687  ... -0.01477536  0.009943
 -0.00829849]",2,"[('drilling', 0.403), ('forecasting', 0.3329), ('ai', 0.3241), ('prediction', 0.298), ('detection', 0.2971)]"
164,DOE-0074-2023,DOE,National Energy Technology Laboratory,,"To apply machine learning applications to map carbon ore, rare earth element, and critical mineral resources","To identify information gaps, GIS and machine learning applications will 
be used to map carbon ore, rare earth element, and critical mineral 
resource infrastructure, and market data in consultation with NETL 
geospatial modeling activities. Research needs and technology gaps will 
be assessed, and resources targeted for sampling and characterization. 
This effort will provide a complete Northern Appalachian carbon ore, 
rare earth element, and critical mineral value chain basinal assessment 
to enable quick development of commercial projects.",,Artificial Intelligence,,Department of Energy,"[-0.03077502  0.0188633   0.06169847 ...  0.00029687 -0.01354447
  0.00718042]",2,"[('mineral', 0.3548), ('appalachian', 0.342), ('ore', 0.3367), ('geospatial', 0.329), ('gis', 0.3254)]"
165,DOE-0075-2023,DOE,National Energy Technology Laboratory,,To apply machine learning and data analytics techniques to integrated subsurface datasets to predict key reservoir properties and compare various fields across the area of study and to correlate vintage data with new data and address the distribution of fractures and vugs.,"Laboratory experiments will be used to optimize a CO2 flood 
composition specific to HTD rock properties, and subsequently design 
and simulate injection scenarios that offer wettability alteration, foaming, 
and reduced surface tension. This work will improve oil recovery from 
matrix porosity and mitigate the impact of fracture zones. The optimized 
design will be implemented and tested in a Trenton/Black River field. 
The results will provide strategies to improve oil recovery in complex 
carbonate formations in the Michigan Basin as well as in other 
carbonate plays.",,"Artificial Intelligence, Big Data",,Department of Energy,"[ 0.00740978 -0.00059063  0.05339871 ... -0.0056815  -0.00210749
  0.03218957]",2,"[('co2', 0.3495), ('porosity', 0.3198), ('carbonate', 0.3192), ('flood', 0.3094), ('basin', 0.2943)]"
166,DOE-0076-2023,DOE,National Energy Technology Laboratory,,To apply machine learning methods to explore the inter-well uncertainty in the Goldsmith Landreth San Andres Unit and to update reservoir models.,"Engineered water can lower interfacial tension and minimize capillary 
forces that gravity can push the oil up and out of the matrix. This 
proposal is to test this technology in the field scale, in Goldsmith 
Landreth San Andres Unit. Apply history matching of flexible interface-
based reservoir models and ML methods such as generative 
adversarial networks that provide new methods to explore the inter-well 
uncertainty and to update the reservoir models.",,Artificial Intelligence,,Department of Energy,"[-0.01340244  0.01973258  0.05064113 ...  0.00328513  0.01007002
  0.03405179]",2,"[('reservoir', 0.4634), ('adversarial', 0.3911), ('models', 0.3228), ('oil', 0.2964), ('water', 0.2918)]"
167,DOE-0077-2023,DOE,National Energy Technology Laboratory,,To automate development of proxy models for power generation combustion systems.,"Detailed CFD of large combustion systems will be performed.   From 
the results, machine learning will be used to develop fast proxy models 
which can will provide results close to the CFD results, but in a small 
fraction of the time.   These fast models will then be used in real-time 
digital twin models of the power plant, which can be used to help the 
power plant operator to spot instrumentation failures or cyberattacks on 
the plant.",,Other,,Department of Energy,"[ 0.03709204  0.00339859  0.03490863 ... -0.02503128 -0.01109252
 -0.00439607]",2,"[('models', 0.3961), ('cfd', 0.3944), ('combustion', 0.377), ('learning', 0.2801), ('machine', 0.2628)]"
168,DOE-0078-2023,DOE,National Energy Technology Laboratory,,"To automate RDE image analysis, machine learning for RDE image analysis is being employed.","The expected outcome of this project will be extensive experimental 
data that can provide valuable insight in RDC design, coupling RDC with 
turbomachinery, model validation, and next generation combustion 
sensors that use artificial intelligence and computer vision.         Design 
of an optimized inlet to maximize pressure gain in an RDE relies on an 
understanding of the coupling between the inlet plenums (fuel and air), 
the combustor annular channel, and the exhaust diffusor. This creates a 
challenge for CFD as the models are significant and computationally 
expensive. NETL is continuing a collaboration with the University of 
Michigan to accelerate reacting flow CFD modeling using machine 
learning (ML).",,Other,,Department of Energy,"[ 0.0513621   0.00502381  0.01470019 ... -0.00982964 -0.01525877
  0.01386232]",2,"[('inlet', 0.4226), ('combustor', 0.3682), ('cfd', 0.3681), ('turbomachinery', 0.3611), ('combustion', 0.3555)]"
169,DOE-0079-2023,DOE,National Energy Technology Laboratory,,"To build the first data analytics and artificial intelligence field laboratory for unconventional resources in the Powder River Basin, focusing on optimization of hydraulic fracture stimulations through the use of multiple diagnostic technologies.","To establish a tight oil Field Laboratory in the Powder River Basin and 
accelerate the development of three major unconventional oil resources 
through detailed geologic characterization and improved geologic 
models leading to significant advances in well completion and fracture 
stimulation designs specific to these three formations. Utilize multi-
variate analysis to understand the interrelationship between completion 
and stimulation controls on well productivity.",,"Artificial Intelligence, Big Data",,Department of Energy,"[-0.01688465  0.00512136  0.0465272  ... -0.01804446 -0.01169923
  0.01813887]",2,"[('basin', 0.3675), ('geologic', 0.3119), ('oil', 0.2977), ('utilize', 0.2122), ('formations', 0.1969)]"
170,DOE-0080-2023,DOE,National Energy Technology Laboratory,,To create a data-driven multiscale phytotechnology framework for identification and remediation of leached-metals-contaminated soil.,"The project objectives are to integrate satellite remote sensing, machine 
learning and image processing, geological engineering models, and soil 
science and plant pathology to: 1) identify potential leaching of metals 
from coal ash impoundments (Phase I), and 2) propose locally 
adaptable phytoextraction approaches to remediate contaminated 
regions (Phase II).",,Artificial Intelligence,,Department of Energy,"[ 0.02040992  0.018237    0.05028756 ... -0.01107801 -0.02430307
 -0.01014029]",2,"[('phytoextraction', 0.479), ('soil', 0.4052), ('leaching', 0.3701), ('geological', 0.3249), ('contaminated', 0.2959)]"
171,DOE-0081-2023,DOE,National Energy Technology Laboratory,,To create and apply machine learning algorithms to predict carbon dioxide enhanced oil revoery improvements with rich gas in the Bell Creek Field and other selected fields.,"Create models with ML algorithms to predict CO2 EOR improvements 
with rich gas in the Bell Creek Field and other selected fields. The 
results of these models will be compared with the predictions of CMG’s 
reservoir simulations models.",,Artificial Intelligence,,Department of Energy,"[ 0.02529836  0.00027613  0.03615547 ... -0.01554005  0.02974585
  0.00062216]",2,"[('co2', 0.4864), ('reservoir', 0.3296), ('models', 0.3235), ('simulations', 0.3043), ('predict', 0.3016)]"
172,DOE-0082-2023,DOE,National Energy Technology Laboratory,,To create reduced order models for predicting long term performance degradation behavior of fuel cells and electrolyzers.,"Machine learning algorithms are being used to analyze large datasets of 
microstructural and perfromance degradation simulations of various 
electrode microstructres to develop reduced order models that can be 
used for long-term perfromance degradation predictions of large area 
fuel cell/electrolysis cells and cell stacks. The reduced order models can 
be used for dynamic simulations that can more accurately mimic the 
changing loading conditions of the modern grid.",,"Big Data, Other",,Department of Energy,"[ 0.01661478  0.00591871  0.02013876 ... -0.01539168 -0.03063803
  0.0120554 ]",2,"[('degradation', 0.3069), ('electrolysis', 0.2889), ('grid', 0.2674), ('electrode', 0.2457), ('models', 0.2408)]"
